Pstate,Cstate,Operations
"2,0,2,0","0,2,0,2","y,n"
"2,0,2,0","0,0,4,4","r,d,n"
"2,0,2,0","0,0,2,2","r,n"
"2,0,2,0","2,2,0,0","r,x,n"
"2,0,2,0","4,4,0,0","r,x,d,n"
"2,0,2,0","0,4,0,4","y,d,n"
"2,0,2,0","4,0,4,0","d,n"
"4,2,0,2","4,0,2,2","r,x,n"
"4,2,0,2","0,2,4,2","x,n"
"4,2,0,2","2,2,0,4","r,y,n"
"4,2,0,2","2,0,2,4","r,r,n"
"4,2,0,2","2,2,4,0","r,n"
"4,2,0,2","2,4,2,0","y,n"
"4,2,0,2","0,4,2,2","r,r,r,n"
"4,2,0,2","4,4,0,8","r,y,d,n"
"4,2,0,2","8,4,0,4","d,n"
"4,2,0,2","4,8,4,0","y,d,n"
"4,2,0,2","4,0,4,8","r,r,d,n"
"4,2,0,2","4,4,8,0","r,d,n"
"4,2,0,2","0,8,4,4","r,r,r,d,n"
"4,2,0,2","8,0,4,4","r,x,d,n"
"4,2,2,2","2,2,4,2","r,n"
"4,2,2,2","2,2,2,4","r,r,n"
"4,2,2,2","2,4,2,2","y,n"
"4,2,2,2","4,4,4,8","r,r,d,n"
"4,2,2,2","8,4,4,4","d,n"
"4,2,2,2","4,8,4,4","y,d,n"
"4,2,2,2","4,4,8,4","r,d,n"
"4,4,2,2","2,2,4,4","x,n"
"4,4,2,2","2,4,2,4","r,y,n"
"4,4,2,2","4,2,4,2","r,n"
"4,4,2,2","4,8,4,8","r,y,d,n"
"4,4,2,2","4,4,8,8","x,d,n"
"4,4,2,2","8,4,8,4","r,d,n"
"2,8,0,4","8,2,4,0","y,n"
"2,8,0,4","0,4,2,8","x,n"
"2,8,0,4","0,2,4,8","r,r,r,n"
"2,8,0,4","4,0,8,2","r,r,n"
"2,8,0,4","8,4,2,0","r,n"
"2,8,0,4","2,0,8,4","r,x,n"
"2,8,0,4","4,8,0,2","r,y,n"
"2,8,0,4","8,0,16,4","r,r,d,n"
"2,8,0,4","8,16,0,4","r,y,d,n"
"2,8,0,4","4,16,0,8","d,n"
"2,8,0,4","0,4,8,16","r,r,r,d,n"
"2,8,4,4","4,4,2,8","x,n"
"2,8,4,4","8,2,4,4","y,n"
"2,8,4,4","4,2,4,8","r,r,r,n"
"2,8,4,4","4,8,4,2","r,y,n"
"2,8,4,4","8,4,2,4","r,n"
"2,8,4,4","4,4,8,2","r,r,n"
"2,8,4,4","2,4,8,4","r,x,n"
"2,8,4,4","4,16,8,8","d,n"
"2,8,4,4","8,16,8,4","r,y,d,n"
"2,8,8,2","8,2,2,8","r,n"
"0,2,8,0","0,8,2,0","r,r,n"
"0,2,8,0","2,0,0,8","r,n"
"0,2,8,0","8,0,0,2","x,n"
"2,0,8,2","0,2,2,8","r,n"
"2,0,8,2","2,8,0,2","r,r,n"
"2,0,8,2","8,2,2,0","x,n"
"2,0,8,2","0,4,4,16","r,d,n"
"2,0,8,2","4,0,16,4","d,n"
"2,0,8,2","4,16,0,4","r,r,d,n"
"2,0,8,2","16,4,4,0","x,d,n"
"2,2,8,2","2,2,2,8","r,n"
"2,2,8,2","2,8,2,2","r,r,n"
"2,2,8,2","8,2,2,2","x,n"
"2,2,8,2","4,4,16,4","d,n"
"2,2,8,2","4,4,4,16","r,d,n"
"2,2,8,2","4,16,4,4","r,r,d,n"
"2,2,8,2","16,4,4,4","x,d,n"
"2,2,8,4","2,8,2,4","r,x,n"
"2,2,8,4","2,2,4,8","y,n"
"2,2,8,4","8,2,4,2","r,r,r,n"
