Pstate,Cstate,Operations
"2,0,2,2","4,0,4,4",d
"0,2,0,2","2,2,0,0",r
"0,0,4,2","2,4,0,0",rr
"4,2,0,2","2,0,2,4",rr
"2,4,4,2","4,2,2,4",r
"0,2,0,2","0,0,2,2",rrr
"0,2,0,2","4,0,4,0",rrd
"2,2,2,4","2,4,2,2",r
"2,8,4,2","4,2,2,8",rrr
"2,0,2,2","0,2,2,2",r
"2,4,0,2","0,2,2,4",rrr
"0,2,2,0","2,0,0,2",r
"0,0,4,2","0,2,0,4",r
"4,2,0,2","2,2,4,0",r
"4,0,4,2","2,4,0,4",rr
"8,2,8,2","8,8,2,2",rrr
"2,2,0,4","2,4,2,0",r
"2,4,2,4","4,4,2,2",r
"4,8,2,0","8,0,4,2",r
"2,2,2,4","2,2,4,2",rrr
"0,0,2,4","4,2,0,0",rr
"2,4,0,2","2,0,4,2",rr
"2,0,2,2","2,2,2,0",rrr
"2,2,0,4","4,0,2,2",rr
"2,0,2,2","4,4,4,0",rrrd
"4,2,8,0","8,4,0,2",rrr
"2,8,4,2","2,4,8,2",rr
"4,4,0,2","2,0,4,4",rr
"4,4,0,2","4,2,4,0",r
"2,2,2,8","2,2,8,2",rrr
"0,4,2,0","2,0,0,4",rrr
"4,2,8,2","2,8,2,4",rr
"4,4,8,2","2,8,4,4",rr
"8,2,8,2","2,8,2,8",rr
"2,16,0,4","0,2,4,16",rrr
"4,2,0,2","0,4,2,2",rrr
"4,4,0,2","0,4,2,4",rrr
"0,2,2,0","4,0,0,4",rd
"2,8,0,4","0,2,4,8",rrr
"0,2,0,2","2,0,2,0",rr
"2,0,2,2","2,2,0,2",rr
"0,2,8,2","2,8,2,0",rr
"2,2,2,8","2,8,2,2",r
"0,2,2,8","2,8,0,2",r
"0,0,2,4","0,4,0,2",r
"4,8,0,2","2,0,8,4",rr
"0,0,2,4","2,0,4,0",rrr
"0,2,2,8","8,2,2,0",rr
"2,2,2,8","8,2,2,2",rr
"4,8,4,2","8,2,4,4",r
"2,8,8,2","8,2,2,8",r
"0,4,2,0","0,2,4,0",rr
"2,4,0,2","4,2,2,0",r
"2,2,2,4","4,2,2,2",rr
"2,4,2,4","4,2,4,2",rr
"4,2,8,2","8,4,2,2",rrr
"2,2,2,4","8,4,4,4",rrd
"4,0,4,2","0,2,4,4",r
"0,2,2,8","2,0,8,2",rrr
"4,8,2,4","4,2,8,4",rr
"4,8,2,4","8,4,4,2",r
"2,8,0,4","8,4,2,0",r
"4,4,8,2","8,4,2,4",rrr
"2,8,4,2","8,2,2,4",r
"4,2,0,4","4,0,2,4",rr
